timestamp,close,side,equity_before,equity_after
2024-08-14 09:00:00+00:00,110.62891199781188,BUY,5000.0,4944.69366716092
2024-08-14 21:00:00+00:00,114.3613474108359,SELL,4944.69366716092,5040.700313419509
2024-08-16 00:30:00+00:00,107.25699644966275,BUY,5040.700313419509,5044.774951582573
2024-08-16 18:00:00+00:00,107.65901403324165,SELL,5044.774951582573,5062.613631985173
2024-08-18 09:00:00+00:00,106.62633166936992,BUY,5062.613631985173,5026.712390457571
2024-08-18 19:00:00+00:00,109.32753409815822,SELL,5026.712390457571,5136.499124323839
2024-08-19 06:30:00+00:00,105.91524880965162,BUY,5136.499124323839,5173.353719604031
2024-08-19 15:00:00+00:00,110.22307850249724,SELL,5173.353719604031,5336.8213068088935
2024-08-21 21:00:00+00:00,97.17578683906729,BUY,5336.8213068088935,5364.880632635894
2024-08-22 22:00:00+00:00,90.85697385364288,SELL,5364.880632635894,4969.780418707943
2024-08-25 17:00:00+00:00,85.8963605397443,BUY,4969.780418707943,4941.637083680024
2024-08-25 23:00:00+00:00,90.47057224235905,SELL,4941.637083680024,5175.882850458513
2024-09-02 15:00:00+00:00,108.5407717207235,BUY,5175.882850458513,5131.849503943186
2024-09-03 12:00:00+00:00,103.33500905488235,SELL,5131.849503943186,4905.8693814972485
2024-09-04 13:00:00+00:00,97.44256823515512,BUY,4905.8693814972485,4884.668609579553
2024-09-04 21:00:00+00:00,97.43163098273199,SELL,4884.668609579553,4931.545984165622
2024-09-06 01:30:00+00:00,88.03957378588831,BUY,4931.545984165622,4911.909781650784
2024-09-06 16:00:00+00:00,87.16058640978697,SELL,4911.909781650784,4823.913211044659
2024-09-17 11:30:00+00:00,127.93862123106065,BUY,4823.913211044659,4788.001978308479
2024-09-17 22:00:00+00:00,129.48181274354886,SELL,4788.001978308479,4811.284486454985
2024-09-19 11:00:00+00:00,113.92632049362975,BUY,4811.284486454985,4821.621669978037
2024-09-19 20:30:00+00:00,114.31704070249992,SELL,4821.621669978037,4928.719451390238
2024-09-26 21:00:00+00:00,149.21137919702863,BUY,4928.719451390238,4918.82733279593
2024-09-27 01:30:00+00:00,152.78612413476253,SELL,4918.82733279593,5019.238741916177
2024-09-29 23:00:00+00:00,141.669129504838,BUY,5019.238741916177,5025.367298785064
2024-09-30 13:00:00+00:00,144.1930083715279,SELL,5025.367298785064,5054.525085754012
2024-10-02 18:00:00+00:00,144.84335256014833,BUY,5054.525085754012,5045.316039177919
2024-10-02 21:30:00+00:00,151.97256093989606,SELL,5045.316039177919,5222.171792660369
2024-10-04 09:30:00+00:00,145.10117836396654,BUY,5222.171792660369,5187.098288820875
2024-10-05 01:00:00+00:00,138.87706560017006,SELL,5187.098288820875,4998.48637954164
2024-10-05 04:30:00+00:00,131.04478447148432,BUY,4998.48637954164,5066.788461583818
